('v', 'v', 'n') 25
('v', 'v', 'v') 24
('n', 'v', 'v') 23
('n', 'v', 'n') 22
('v', 'n', 'v') 19
('n', 'n', 'v') 18
('v', 'n', 'f') 17
('n', 'uj', 'n') 16
('n', 'd', 'v') 16
('r', 'd', 'v') 15
('r', 'v', 'v') 14
('uj', 'n', 'v') 14
('v', 'v', 'r') 14
('v', 'v', 'uj') 14
('uj', 'n', 'n') 13
('d', 'v', 'v') 13
('v', 'm', 'n') 12
('v', 'r', 'uj') 12
('v', 'uj', 'ns') 11
('v', 'ul', 'm') 11
('d', 'v', 'n') 11
('v', 'n', 'uj') 10
('v', 'uj', 'n') 10
('v', 'd', 'v') 10
('n', 'v', 'r') 10
('n', 'v', 'ul') 10
('v', 'r', 'v') 9
('n', 'f', 'c') 9
('uj', 'n', 'd') 9
('r', 'v', 'r') 9
('c', 'v', 'v') 8
('c', 'r', 'v') 8
('v', 'n', 'n') 8
('n', 'f', 'v') 7
('n', 'n', 'n') 7
('n', 'v', 'm') 7
('m', 'n', 'd') 7
('v', 'v', 'm') 7
('n', 'n', 'd') 7
('r', 'uj', 'n') 7
('v', 'p', 'n') 7
('v', 'r', 'm') 7
('f', 'c', 'v') 6
('d', 'c', 'v') 6
('uj', 'ns', 'v') 6
('m', 'p', 'n') 6
('i', 'uj', 'n') 6
('n', 'v', 'uj') 6
('v', 'ul', 'v') 6
('v', 'm', 'v') 6
('m', 'n', 'v') 6
('m', 'nr', 'n') 6
('ns', 'v', 'v') 6
('v', 'n', 'd') 6
('r', 'v', 'ul') 6
('v', 'n', 'p') 6
('r', 'v', 'n') 5
('v', 'nr', 'n') 5
('f', 'v', 'm') 5
('ns', 'n', 'n') 5
('nr', 'n', 'ng') 5
('r', 'm', 'n') 5
('v', 'v', 'd') 5
('ns', 'v', 'n') 5
('n', 'v', 'p') 5
('i', 'uv', 'v') 5
('p', 'r', 'v') 5
('p', 'n', 'v') 5
('p', 'n', 'f') 5
('r', 'r', 'v') 5
('r', 'n', 'v') 5
('v', 'm', 'd') 5
('n', 'd', 'n') 5
('n', 'p', 'n') 5
('v', 'm', 'nr') 5
('r', 'm', 'v') 5
('m', 'n', 'uj') 5
('v', 'ul', 'n') 4
('n', 'r', 'v') 4
('n', 'd', 'd') 4
('n', 'p', 'v') 4
('p', 'n', 'n') 4
('uj', 'v', 'v') 4
('n', 'v', 'd') 4
('a', 'v', 'n') 4
('n', 'r', 'd') 4
('v', 'n', 'r') 4
('p', 'n', 'uj') 4
('v', 'v', 'ul') 4
('n', 'ns', 'v') 4
('a', 'uj', 'n') 4
('d', 'v', 'm') 4
('t', 'uj', 'n') 4
('v', 'a', 'uj') 4
('m', 'uj', 'n') 4
('d', 'v', 'c') 4
('d', 'v', 'p') 4
('ul', 'v', 'v') 4
('v', 'uj', 'v') 4
('uj', 'v', 'n') 4
('n', 'd', 'p') 4
('v', 'p', 'm') 4
('m', 'n', 'n') 4
('v', 'r', 'n') 4
('ul', 'm', 'n') 4
('n', 'c', 'r') 4
('c', 'v', 'n') 4
('p', 'm', 'n') 4
('ns', 'yg', 'v') 4
('v', 's', 'uj') 4
('n', 'uj', 'v') 4
('v', 'c', 'v') 4
('v', 'v', 'p') 3
('nr', 'd', 'v') 3
('vn', 'uj', 'n') 3
('d', 'v', 'zg') 3
('v', 'n', 'a') 3
('d', 'd', 'v') 3
('v', 'm', 'a') 3
('nr', 'v', 'v') 3
('v', 'uv', 'v') 3
('m', 'd', 'p') 3
('n', 'p', 'f') 3
('uv', 'v', 'r') 3
('v', 'uj', 'nr') 3
('r', 'v', 'm') 3
('v', 'ul', 'd') 3
('uj', 'ns', 'd') 3
('m', 'v', 'm') 3
('n', 'v', 'vn') 3
('a', 'uj', 'ns') 3
('r', 'uj', 'b') 3
('m', 'nr', 'v') 3
('n', 'n', 'p') 3
('nr', 'n', 'v') 3
('m', 'v', 'n') 3
('v', 'v', 's') 3
('a', 'v', 'uj') 3
('n', 'n', 'ns') 3
('uv', 'v', 'v') 3
('d', 'a', 'n') 3
('n', 'z', 'v') 3
('s', 'uj', 'n') 3
('ul', 'n', 'n') 3
('a', 'n', 'v') 3
('d', 'v', 'ug') 3
('m', 'n', 'r') 3
('v', 'n', 'y') 3
('c', 'v', 'm') 3
('d', 'p', 'r') 3
('uj', 'a', 'n') 3
('d', 'r', 'v') 3
