('uj', 'n', 'n') 47
('j', 'a', 'a') 46
('n', 'd', 'v') 45
('v', 'n', 'v') 43
('n', 'v', 'n') 35
('n', 'uj', 'n') 33
('n', 'v', 'v') 31
('d', 'v', 'v') 31
('n', 'n', 'v') 30
('v', 'v', 'n') 30
('v', 'uj', 'n') 29
('uj', 'n', 'v') 25
('n', 'n', 'n') 23
('v', 'n', 'n') 23
('v', 'p', 'n') 23
('v', 'v', 'v') 22
('v', 'j', 'a') 19
('a', 'uj', 'n') 19
('v', 'd', 'v') 18
('r', 'd', 'v') 18
('a', 'a', 'v') 18
('n', 'f', 'v') 17
('d', 'v', 'n') 17
('n', 'v', 'r') 17
('uj', 'v', 'n') 17
('v', 'n', 'uj') 17
('v', 'v', 'r') 17
('ns', 'ns', 'ns') 17
('v', 'r', 'uj') 16
('uj', 'n', 'd') 16
('r', 'uj', 'n') 16
('v', 'nr', 'n') 15
('n', 'v', 'ul') 15
('nr', 'n', 'v') 14
('d', 'v', 'p') 14
('d', 'd', 'v') 14
('r', 'v', 'v') 14
('p', 'n', 'f') 13
('v', 'r', 'v') 13
('v', 'm', 'n') 12
('p', 'n', 'v') 12
('v', 'r', 'n') 12
('n', 'v', 'uj') 11
('v', 'n', 'd') 11
('v', 'a', 'uj') 10
('n', 'p', 'n') 10
('v', 'r', 'd') 10
('n', 'd', 'd') 9
('m', 'n', 'v') 9
('m', 'v', 'n') 9
('d', 'v', 'm') 9
('uj', 'n', 'f') 9
('n', 'd', 'a') 9
('a', 'v', 'n') 9
('v', 'v', 'uj') 9
('d', 'v', 'r') 9
('n', 'uj', 'v') 9
('a', 'n', 'uj') 9
('n', 'n', 'd') 9
('nr', 'n', 'd') 9
('r', 'n', 'v') 9
('r', 'v', 'n') 8
('v', 'n', 'a') 8
('v', 'p', 's') 8
('v', 'n', 'p') 8
('n', 'n', 'uj') 8
('f', 'uj', 'n') 8
('d', 'v', 'uj') 8
('v', 'v', 'a') 8
('r', 'uj', 'v') 8
('d', 'v', 'a') 8
('v', 'v', 'd') 8
('n', 'v', 'nr') 8
('m', 'n', 'd') 8
('i', 'uv', 'v') 8
('v', 'm', 'v') 8
('d', 'v', 'ul') 8
('n', 'r', 'v') 7
('v', 'v', 'ul') 7
('v', 'v', 'm') 7
('v', 'ul', 'v') 7
('d', 'a', 'v') 7
('a', 'v', 'v') 7
('v', 'uv', 'v') 7
('v', 'd', 'd') 7
('eng', 'n', 'n') 7
('n', 'f', 'n') 7
('m', 'uj', 'n') 7
('uj', 'a', 'n') 7
('v', 'ul', 'n') 6
('v', 'n', 'f') 6
('d', 'v', 'd') 6
('n', 'n', 'nr') 6
('v', 'm', 'uj') 6
('a', 'a', 'n') 6
('n', 'n', 'f') 6
('n', 'v', 'a') 6
('v', 'p', 'r') 6
('s', 'uj', 'n') 6
('uv', 'v', 'p') 6
('v', 'n', 'i') 6
('uj', 'n', 'r') 6
('v', 'a', 'n') 6
('n', 'a', 'n') 6
('v', 'r', 'r') 6
('n', 'v', 'p') 6
('i', 'uj', 'n') 6
('n', 'd', 'n') 6
('v', 'ul', 'm') 5
('zg', 'n', 'v') 5
('p', 'r', 'uj') 5
('r', 'v', 'r') 5
('uv', 'v', 'r') 5
('n', 'v', 'd') 5
('n', 'n', 'p') 5
('d', 'd', 'p') 5
('r', 'n', 'd') 5
('a', 'n', 'v') 5
('n', 'r', 'n') 5
('n', 'a', 'v') 5
('v', 'v', 'nr') 5
('n', 'i', 'uv') 5
('a', 'uv', 'v') 5
('r', 'n', 'n') 5
('v', 'nr', 'uj') 5
('a', 'v', 'uj') 5
('r', 'd', 'd') 5
('n', 'i', 'uj') 5
('ul', 'v', 'n') 5
('a', 'v', 'ul') 5
('v', 'a', 'v') 5
('uv', 'v', 'v') 5
