('n', 'uj', 'n') 28
('n', 'd', 'v') 26
('d', 'v', 'v') 22
('v', 'v', 'v') 22
('n', 'v', 'v') 20
('v', 'n', 'v') 20
('v', 'v', 'n') 20
('v', 'd', 'v') 20
('v', 'v', 'r') 18
('v', 'uj', 'n') 17
('uj', 'n', 'v') 17
('v', 'r', 'v') 14
('uj', 'n', 'd') 14
('d', 'v', 'n') 13
('v', 'r', 'n') 13
('r', 'd', 'v') 13
('v', 'n', 'uj') 12
('ag', 'b', 'n') 12
('d', 'v', 'ul') 11
('n', 'v', 'n') 11
('n', 'f', 'v') 10
('r', 'v', 'v') 10
('m', 'ag', 'b') 10
('d', 'v', 'r') 10
('d', 'd', 'v') 9
('r', 'n', 'n') 9
('v', 'ul', 'v') 9
('r', 'v', 'r') 9
('n', 'v', 'uj') 9
('n', 'd', 'd') 8
('uj', 'n', 'c') 8
('d', 'v', 'm') 8
('n', 'v', 'r') 8
('r', 'n', 'v') 8
('n', 'p', 'n') 8
('n', 'v', 'ul') 8
('uj', 'n', 'a') 7
('v', 'v', 'd') 7
('d', 'v', 'd') 7
('a', 'uj', 'n') 7
('uj', 'n', 'f') 7
('n', 'c', 'n') 7
('v', 'r', 'd') 7
('v', 'r', 'uj') 7
('uj', 'n', 'n') 6
('v', 'm', 'n') 6
('v', 'uv', 'v') 6
('r', 'v', 'm') 6
('c', 'v', 'v') 6
('n', 'c', 'v') 6
('n', 'y', 'uj') 6
('p', 'n', 'v') 6
('v', 'v', 'uj') 6
('n', 'n', 'uj') 6
('m', 'n', 'v') 6
('n', 'v', 'c') 6
('r', 'uj', 'n') 6
('v', 'n', 'n') 6
('d', 'a', 'v') 6
('n', 'n', 'v') 6
('r', 'v', 'n') 5
('v', 'v', 'p') 5
('n', 'n', 'd') 5
('v', 'nz', 'n') 5
('v', 'n', 'f') 5
('p', 'n', 'uj') 5
('n', 'n', 'n') 5
('y', 'uj', 'n') 5
('a', 'n', 'v') 5
('m', 'uj', 'n') 5
('c', 'n', 'v') 5
('nr', 'uj', 'n') 5
('v', 'p', 'n') 5
('p', 'v', 'v') 5
('n', 'm', 'v') 5
('v', 'n', 'd') 5
('uj', 'n', 'y') 5
('v', 'v', 'ul') 5
('a', 'uv', 'v') 5
('p', 'j', 'a') 4
('v', 'ul', 'm') 4
('r', 'p', 'v') 4
('f', 'v', 'n') 4
('v', 'd', 'd') 4
('c', 'r', 'd') 4
('v', 'v', 'i') 4
('i', 'uv', 'v') 4
('v', 'c', 'r') 4
('c', 'r', 'n') 4
('n', 'n', 'p') 4
('m', 'v', 'n') 4
('s', 'uj', 'n') 4
('r', 'n', 'd') 4
('n', 'uj', 'v') 4
('v', 'r', 'p') 4
('v', 'm', 'v') 4
('uv', 'v', 'v') 4
('uj', 'n', 'm') 4
('a', 'd', 'v') 4
('c', 'r', 'v') 4
('v', 'v', 'a') 4
('m', 'd', 'v') 4
('x', 'x', 'x') 4
('r', 'n', 'uj') 4
('d', 'p', 'v') 4
('v', 'r', 'm') 4
('b', 'uj', 'n') 4
('v', 'r', 'r') 4
('v', 'ul', 'n') 3
('v', 'a', 'uj') 3
('n', 'r', 'v') 3
('l', 'v', 'n') 3
('nz', 'n', 'v') 3
('v', 'p', 'v') 3
('r', 'v', 'nr') 3
('t', 'n', 'n') 3
('v', 'l', 'v') 3
('c', 'n', 'd') 3
('a', 'v', 'ul') 3
('n', 'v', 'd') 3
('d', 'n', 'v') 3
('a', 'n', 'p') 3
('r', 'u', 'm') 3
('n', 'a', 'n') 3
('r', 'r', 'n') 3
('n', 'd', 'm') 3
('d', 'r', 'd') 3
('n', 'p', 'r') 3
('r', 'v', 'c') 3
('m', 'v', 'zg') 3
('r', 'm', 'n') 3
('c', 'p', 'r') 3
('n', 'v', 'p') 3
('d', 'v', 'nz') 3
('ul', 'v', 'uj') 3
('m', 'n', 'd') 3
