eng x eng x eng x eng 4
n n v uj n n d 3
nr nr a uj n yg v 3
a uj n yg v v m 3
v n n v uj n n 3
nr a uj n yg v v 3
d v d v r uj n 3
v v r n uj n nr 3
v n v v n uj n 2
v r q a uj n n 2
v n v v v n uj 2
v r m zg j n n 2
nr v nr nr a uj n 2
v n v d v d v 2
d v p n n uj n 2
v c n n d d v 2
n n n s v n n 2
v p n v v n uj 2
nr nr v nr nr a uj 2
n n v v n v n 2
d v v r n uj n 2
v d v r uj n v 2
v r v n v v v 2
d a ul m n a n 2
uj n v n n n n 2
n n v n n uj n 2
n n n v n n uj 2
uj n v r p r v 2
v v uj n v v n 2
n v uj n n d v 2
yg v v m n v p 2
v nr nr a uj n yg 2
n v v n v n v 2
v uj n v ul m n 2
uj n v n n uj n 2
v f uj n v n n 2
zg ns s uj n n v 2
p n v v n uj n 2
r uj n d v v n 2
n v v v n uj n 2
v v n v v n uj 2
uj n yg v v m n 2
v uj n v v n uj 2
r v v r a uj n 2
n v v uj n v v 2
n v v p s n i 2
n d v v v uj n 2
r v n v v v n 2
n v r q a uj n 2
v v n v a uj n 2
n d d v n n v 2
p n n uj n zg n 2
n yg v v m n v 2
v v p n f uj n 2
v c r uj n d v 2
uj v n d v r d 2
n v n nr d d v 2
n v v n uj n zg 2
p n n d v v ul 2
r d n n d v v 2
v p n n uj n zg 2
v r uj n d v v 2
v v a uj n d v 2
v r uj n v n n 2
n uj n r d v v 2
p m uj n v n n 2
m i i zg j n n 1
p v n v v v r 1
nr n f v v v n 1
n v v n m x zg 1
ul v v m y v m 1
c uj n p r n v 1
a uj n zg c v v 1
j n i nz uj n u 1
v n v n p n uj 1
d v d v v r v 1
m ag ng n v s nz 1
m f p d v nr n 1
r n uj vn n m x 1
nr r uj r v r n 1
nr a v r v a y 1
i v n n j n d 1
m n n zg n v uj 1
v v r ul n n p 1
uj n f d uv n m 1
m v d v vn n uj 1
m n d r v n v 1
n n d d nr mq v 1
n v a uv v c n 1
n i v r n uj n 1
n n v v a uv v 1
n a v m n d v 1
r m r uj a n d 1
v v uj n v ul m 1
v n uj n f r v 1
d vn uj n d v j 1
uj n v r y c v 1
v ul nr ng ng s uj 1
n n v p v v uj 1
d m f ul j r u 1
m v uj n v ul v 1
n n v l uj n n 1
c r d m f ul j 1
r v n v v ud l 1
a uj n n n n uj 1
mq n n d p v ul 1
d d n n v ns uj 1
yg n zg v v n v 1
r n b p r vn t 1
v zg ng n d zg vn 1
f v v v v uj c 1
n n ad v c v r 1
a d v v n uj n 1
r uj n d l c r 1
c d v i d v i 1
v q u n d d v 1
nr zg v n zg ns r 1
d v ug a m c r 1
n v v p mq zg n 1
p r y t nr n v 1
uj n v d v r vn 1
a v v r uj n v 1
n p v n n n uj 1
v n p an n n n 1
d v c n n m p 1
d d v n uj n c 1
d p n v v f d 1
v uj m n d v ns 1
n n uj n d j nr 1
r a uj n v n n 1
l c d n r d a 1
n f v n n n n 1
a n v r d z v 1
m nz v v nr n uj 1
v j a a v ug uj 1
r d a uj n b uj 1
v v v s uj ag ng 1
m a n v n p s 1
a uv v v v r n 1
r n v d v p v 1
ns n n b vn n n 1
n n d v f n v 1
uj n n v ul m n 1
x x n n n n uv 1
f d v ad vn uj n 1
n v c r d n t 1
n n v r v uj n 1
u n v f nr uj n 1
v s uj n n d v 1
d v v uj n d p 1
n v p m f v c 1
uj n n d d v n 1
uv v d v nt f uj 1
nr zg n p m uj n 1
i v n r d p n 1
v v v uj n d a 1
r v zg r r v v 1
n d i v v r v 1
an uv v nr x zg z 1
m f v m d v j 1
uj n n v m n d 1
d v ad vn uj n n 1
an n m eng nr n n 1
a ns r v d t r 1
n d n n v n v 1
uv v p n d uv l 1
n v ul d v a v 1
uj a n zg v m v 1
m v v c n s v 1
n n f yg v q i 1
v v r uj n d v 1
v ul v v m v n 1
d n ns n uj n eng 1
v n v p n n n 1
p m n f d v v 1
zg nr nr uj n vd v 1
nr n z v v ns uj 1
n p v v uj n v 1
v n v v v m n 1
x ag ng n nr v m 1
uj n n v ul v m 1
uj n zg n v d v 1
n a v r v p mq 1
v j a a uj s r 1
n n a m d v v 1
ns uj s r v uj ns 1
d p nr n uj nr ng 1
n n v d c uj n 1
n n v ul v i yg 1
p n ng d n p n 1
v ul n n r p y 1
x t d p n nr zg 1
n m ns n d v d 1
d v v zg m zg d 1
m t d v j n c 1
n d d v p n m 1
r v r v v m c 1
c i yg nr n q d 1
uj n r n f v ul 1
n d v v n nr c 1
r v t n uj s d 1
v nr uj n d v i 1
d r nr c u r p 1
c i uj ag ng n d 1
n f v l l j v 1
d r r c nr n v 1
e n d a u d v 1
n a v m a a a 1
r uj v nr r v r 1
n r d p rr v p 1
r p r v n d d 1
a nr n ng d p v 1
v ul m v d v v 1
