('a', 'a', 'n')
('a', 'a', 'p')
('a', 'a', 'q')
('a', 'a', 'r')
('a', 'a', 'uj')
('a', 'a', 'v')
('a', 'a', 'x')
('a', 'd', 'd')
('a', 'd', 'm')
('a', 'd', 'v')
('a', 'e', 'a')
('a', 'm', 'v')
('a', 'n', 'a')
('a', 'n', 'd')
('a', 'n', 'j')
('a', 'n', 'm')
('a', 'n', 'n')
('a', 'n', 'o')
('a', 'n', 'p')
('a', 'n', 'r')
('a', 'n', 'uj')
('a', 'n', 'uv')
('a', 'n', 'v')
('a', 'n', 'vn')
('a', 'n', 'x')
('a', 'n', 'y')
('a', 'n', 'yg')
('a', 'n', 'z')
('a', 'n', 'zg')
('a', 'ng', 'ng')
('a', 'ng', 'nr')
('a', 'ng', 'uj')
('a', 'ng', 'zg')
('a', 'nr', 'n')
('a', 'p', 'a')
('a', 'p', 'd')
('a', 'p', 'ns')
('a', 'p', 'x')
('a', 'p', 'zg')
('a', 'q', 'd')
('a', 'q', 'm')
('a', 'q', 'vg')
('a', 'q', 'x')
('a', 'r', 'uj')
('a', 'r', 'v')
('a', 'r', 'x')
('a', 's', 'y')
('a', 'u', 'r')
('a', 'uj', 'a')
('a', 'uj', 'l')
('a', 'uj', 'm')
('a', 'uj', 'n')
('a', 'uj', 'nr')
('a', 'uj', 'r')
('a', 'uj', 'v')
('a', 'uj', 'vn')
('a', 'uj', 'x')
('a', 'uj', 'y')
('a', 'ul', 'n')
('a', 'ul', 'r')
('a', 'ul', 'v')
('a', 'ul', 'x')
('a', 'uv', 'd')
('a', 'uv', 'n')
('a', 'uv', 'p')
('a', 'uv', 'r')
('a', 'uv', 'v')
('a', 'v', 'a')
('a', 'v', 'd')
('a', 'v', 'm')
('a', 'v', 'n')
('a', 'v', 'ng')
('a', 'v', 'q')
('a', 'v', 'r')
('a', 'v', 't')
('a', 'v', 'tg')
('a', 'v', 'u')
('a', 'v', 'ug')
('a', 'v', 'uj')
('a', 'v', 'ul')
('a', 'v', 'v')
('a', 'v', 'x')
('a', 'vg', 'v')
('a', 'vn', 'x')
('a', 'x', 'c')
('a', 'x', 'd')
('a', 'x', 'f')
('a', 'x', 'm')
('a', 'x', 'n')
('a', 'x', 'p')
('a', 'x', 'r')
('a', 'x', 'v')
('a', 'x', 'x')
('a', 'y', 'x')
('a', 'z', 'v')
('a', 'zg', 'd')
('a', 'zg', 'm')
('a', 'zg', 'n')
('a', 'zg', 'o')
('a', 'zg', 'r')
('a', 'zg', 'v')
('a', 'zg', 'vg')
('a', 'zg', 'x')
('ad', 'a', 'uj')
('ad', 'd', 'v')
('ad', 'd', 'x')
('ad', 'n', 'ng')
('ad', 'n', 'v')
('ad', 'n', 'x')
('ad', 'p', 'r')
('ad', 'uj', 'n')
('ad', 'uv', 'v')
('ad', 'v', 'm')
('ad', 'v', 'n')
('ad', 'v', 'r')
('ad', 'v', 'uj')
('ad', 'v', 'v')
('ad', 'v', 'x')
('ad', 'v', 'zg')
('ad', 'zg', 'v')
('an', 'ad', 'v')
('an', 'm', 'x')
('an', 'n', 'v')
('an', 'n', 'x')
('an', 'p', 'a')
('an', 'uj', 'n')
('an', 'uj', 'v')
('an', 'uj', 'x')
('an', 'x', 'c')
('an', 'x', 'p')
('an', 'x', 'x')
('b', 'l', 'x')
('b', 'm', 'x')
('b', 'n', 'f')
('b', 'n', 'm')
('b', 'n', 'n')
('b', 'n', 'uj')
('b', 'n', 'x')
('b', 'p', 'm')
('b', 't', 'm')
('b', 'uj', 'a')
('b', 'uj', 'n')
('b', 'uj', 'v')
('b', 'v', 'uj')
('b', 'v', 'v')
('b', 'v', 'z')
('b', 'x', 'n')
('b', 'yg', 'n')
('c', 'a', 'a')
('c', 'a', 'n')
('c', 'a', 'p')
