('r', 'v', 'ns')
('vn', 'n', 'x')
('f', 'x', 'a')
('n', 'nrt', 'uj')
('b', 'uv', 'ng')
('x', 'nr', 'p')
('m', 'd', 'uj')
('m', 'a', 'ng')
('v', 'uj', 'ns')
('v', 'ng', 'uj')
('r', 'uj', 'r')
('a', 'ng', 'ul')
('t', 'uj', 'v')
('r', 'm', 'p')
('c', 's', 'n')
('p', 'f', 'x')
('nr', 'q', 'x')
('i', 'uj', 'vn')
('x', 'ad', 'x')
('v', 'v', 'ng')
('uv', 'ng', 'x')
('f', 'uj', 't')
('c', 'n', 'n')
('d', 'p', 'eng')
('v', 'vg', 'uj')
('uj', 'n', 't')
('nrt', 'x', 'nr')
('zg', 'm', 'n')
('zg', 'i', 'x')
('v', 's', 'p')
('an', 'vn', 'v')
('c', 'n', 'c')
('j', 'y', 'x')
('ud', 'n', 'z')
('u', 'v', 't')
('m', 'x', 't')
('ng', 'vg', 'v')
('nr', 'nr', 'a')
('f', 'n', 'p')
('v', 'ul', 'm')
('a', 'n', 'i')
('v', 'ug', 'uj')
('x', 'c', 'zg')
('vg', 'v', 'tg')
('v', 'j', 'ag')
('an', 'n', 't')
('x', 'm', 'n')
('d', 'r', 'ns')
('a', 'n', 'c')
('d', 'vg', 'q')
('p', 'zg', 'x')
('m', 'd', 'p')
('uj', 'r', 'd')
('t', 'p', 'r')
('n', 'v', 'ug')
('ns', 'a', 'n')
('n', 'tg', 'd')
('k', 'y', 'x')
('x', 'nr', 'c')
('nz', 'v', 'x')
('v', 'uj', 'ul')
('n', 'y', 'x')
('d', 'p', 'j')
('nrt', 'uj', 'a')
('o', 'nz', 'uj')
('z', 'x', 'a')
('y', 'y', 'ul')
('nr', 'r', 'a')
('n', 'an', 'd')
('zg', 'c', 'x')
('n', 'ad', 'uj')
('nrt', 'v', 'v')
('r', 'x', 'r')
('yg', 'x', 'nr')
('j', 's', 'x')
('m', 'uj', 'v')
('q', 'f', 'x')
('d', 'r', 'n')
('n', 'b', 'u')
('x', 'nrt', 'nrt')
('v', 'p', 'f')
('a', 'q', 'n')
('vg', 'x', 'v')
('v', 'uj', 'nz')
('j', 'n', 'a')
('s', 'd', 'uj')
('ns', 'n', 'n')
('v', 't', 'ng')
('l', 'x', 'm')
('t', 'nr', 'v')
('a', 'vn', 't')
('i', 'uj', 'r')
('ad', 'm', 'x')
('d', 'd', 'zg')
('n', 'nr', 'd')
('t', 'v', 'n')
('v', 'df', 'v')
('uj', 'm', 'x')
('n', 'vn', 'ug')
('n', 'y', 'p')
('q', 'n', 's')
('x', 'x', 'ns')
('vg', 'x', 'nr')
('eng', 'm', 'x')
('m', 'x', 'r')
('p', 'uj', 'o')
('vn', 'm', 'm')
('v', 'b', 'zg')
('x', 'a', 'v')
('z', 's', 'x')
('v', 'ug', 'm')
('c', 'v', 'f')
('x', 'm', 'y')
('nr', 'x', 'ad')
('m', 'n', 's')
('f', 'n', 'z')
('p', 'm', 'zg')
('nr', 'd', 'z')
('n', 'nr', 'v')
('an', 'v', 'ul')
('d', 'r', 'd')
('r', 'y', 'c')
('uj', 'd', 'b')
('c', 'uj', 'p')
('m', 'uj', 'a')
('a', 'j', 's')
('x', 'vn', 'n')
('nr', 's', 'v')
('x', 'an', 'ud')
('p', 'l', 'uj')
('n', 'r', 'nr')
('f', 'x', 'nr')
('j', 'x', 'n')
('x', 'nr', 'l')
('p', 'o', 'x')
('k', 'f', 'x')
('z', 'x', 'ns')
('r', 'n', 'u')
('v', 'd', 'v')
('r', 'nr', 'zg')
('vn', 'uv', 'm')
('m', 'v', 'n')
('n', 's', 'd')
('c', 'd', 'uj')
('p', 'i', 'x')
('m', 'n', 't')
('ng', 'v', 'ud')
('ug', 'n', 'v')
('yg', 'a', 'x')
('ns', 'x', 'ns')
('ul', 'n', 'd')
('r', 'p', 'r')
('a', 'r', 'm')
('zg', 'n', 'nr')
('m', 'y', 'v')
('x', 'a', 'a')
('zg', 'n', 'm')
('ug', 'v', 'r')
('r', 'n', 'z')
('v', 's', 'd')
('a', 'j', 't')
('m', 'r', 'n')
('uj', 'f', 'n')
('x', 'x', 'nz')
('ag', 'ag', 'x')
('p', 'd', 'i')
('n', 'x', 'y')
('d', 'v', 'd')
('f', 'r', 'a')
('x', 'a', 'x')
('nr', 'x', 'uj')
('f', 'yg', 'v')
('j', 'v', 'ul')
('n', 'o', 'x')
('d', 'uj', 'an')
('d', 's', 'n')
('p', 'n', 'c')
('z', 'z', 'x')
('nr', 'x', 'r')
('x', 's', 'zg')
('c', 'c', 'x')
('a', 'j', 'm')
('ul', 'd', 'uj')
('d', 'uj', 'q')
('m', 'u', 'v')
('x', 'd', 'uv')
('n', 'n', 'm')
('nr', 'n', 'c')
('p', 'mq', 'n')
('t', 'vn', 'vn')
('p', 'v', 'b')
('d', 'v', 'z')
('mq', 'n', 'x')
('n', 'z', 'v')
('nr', 'a', 'ul')
('p', 'nr', 'x')
('uj', 'nr', 'a')
('uj', 'an', 'm')
('p', 'nz', 'nr')
('x', 'a', 'j')
('ad', 'v', 'q')
('eng', 'ud', 'r')
('v', 'nz', 'x')
('v', 'vn', 'uj')
('s', 'x', 'd')
('ug', 'uj', 'n')
('eng', 'ul', 'x')
('m', 'n', 'z')
('a', 'nr', 'p')
('r', 'x', 'n')
('ns', 'f', 'x')
('q', 'n', 'n')
('n', 'ng', 'v')
('an', 'c', 'v')
('v', 'u', 'r')
('x', 'd', 'i')
('p', 'v', 'zg')
('r', 'k', 'n')
('v', 'd', 'm')
('f', 'v', 'q')
('r', 'c', 'd')
('v', 'd', 'x')
('ug', 'j', 'x')
('x', 'r', 'f')
('r', 'r', 't')
('c', 'm', 'nr')
('tg', 'n', 'x')
('ul', 'l', 'x')
('zg', 'r', 'a')
('a', 'a', 'e')
('v', 'uj', 'a')
('m', 'p', 'a')
('m', 'y', 'x')
('x', 'n', 'ng')
('nr', 'nrt', 'n')
('y', 'p', 'm')
('c', 'uj', 'x')
('nr', 'i', 'uv')
('nr', 'u', 'ad')
('v', 'uj', 't')
('df', 'v', 'n')
('q', 'r', 'm')
('u', 'v', 'n')
('u', 'x', 'i')
('r', 'y', 'r')
('a', 'c', 'v')
('n', 'ng', 'd')
('uj', 'an', 'c')
('q', 'x', 'p')
('d', 'p', 'nr')
('v', 'p', 's')
('c', 'vn', 'zg')
('m', 'z', 'v')
('p', 'ns', 'z')
('ud', 'd', 'uj')
('v', 'r', 'k')
('d', 'm', 't')
('i', 'x', 'vn')
('r', 'a', 't')
('zg', 'ns', 'dg')
('nz', 'ul', 'r')
('x', 'eng', 'ud')
('ud', 'm', 'ul')
('nrt', 'v', 'zg')
('p', 'n', 'f')
('nr', 'ug', 'x')
('r', 'y', 'u')
('a', 'n', 'vn')
