File name: ../wordfreq/cityup/1.txt
的 3964/29750 = 0.133243697479
我 1786/29750 = 0.0600336134454
了 1056/29750 = 0.0354957983193
在 952/29750 = 0.032
也 646/29750 = 0.0217142857143
說 549/29750 = 0.0184537815126
有 522/29750 = 0.0175462184874
不 521/29750 = 0.017512605042
你 510/29750 = 0.0171428571429
那 378/29750 = 0.0127058823529
人 351/29750 = 0.0117983193277
什麼 351/29750 = 0.0117983193277
上 343/29750 = 0.0115294117647
就 331/29750 = 0.0111260504202
這 307/29750 = 0.0103193277311
都 289/29750 = 0.00971428571429
和 286/29750 = 0.00961344537815
中 278/29750 = 0.00934453781513
沒有 275/29750 = 0.00924369747899
地 259/29750 = 0.00870588235294
裡 226/29750 = 0.00759663865546
把 226/29750 = 0.00759663865546
從 200/29750 = 0.00672268907563
想 199/29750 = 0.00668907563025
自己 199/29750 = 0.00668907563025
又 190/29750 = 0.00638655462185
不是 161/29750 = 0.00541176470588
為 157/29750 = 0.00527731092437
用 154/29750 = 0.00517647058824
一 154/29750 = 0.00517647058824
File name: ../wordfreq/cityup/2.txt
的 26764/178702 = 0.149768888988
了 6997/178702 = 0.0391545701783
在 5526/178702 = 0.0309229891104
我 4016/178702 = 0.0224731676198
也 3664/178702 = 0.0205034079081
說 2920/178702 = 0.0163400521539
不 2683/178702 = 0.0150138218934
人 2467/178702 = 0.0138051057067
就 2396/178702 = 0.0134077962194
沒有 2350/178702 = 0.0131503844389
和 2342/178702 = 0.0131056171727
裡 2201/178702 = 0.0123165941064
你 2142/178702 = 0.0119864355183
什麼 1968/178702 = 0.011012747479
有 1844/178702 = 0.0103188548533
都 1778/178702 = 0.00994952490739
地 1738/178702 = 0.00972568857651
這 1648/178702 = 0.00922205683204
上 1620/178702 = 0.00906537140043
會 1419/178702 = 0.00794059383779
那 1341/178702 = 0.00750411299258
自己 1315/178702 = 0.00735861937751
這樣 1104/178702 = 0.00617788273215
到 1077/178702 = 0.00602679320881
對 1063/178702 = 0.005948450493
從 1027/178702 = 0.00574699779521
能 1021/178702 = 0.00571342234558
還 1003/178702 = 0.00561269599669
想 988/178702 = 0.00552875737261
很 981/178702 = 0.00548958601471
File name: ../wordfreq/cityup/3.txt
的 2441/16371 = 0.149105124916
了 647/16371 = 0.0395211043919
在 545/16371 = 0.0332905747969
我 449/16371 = 0.0274265469428
說 364/16371 = 0.0222344389469
也 334/16371 = 0.0204019302425
你 268/16371 = 0.0163704110928
不 267/16371 = 0.0163093274693
什麼 258/16371 = 0.015759574858
有 232/16371 = 0.0141714006475
人 224/16371 = 0.0136827316596
上 202/16371 = 0.0123388919431
地 197/16371 = 0.0120334738257
裡 187/16371 = 0.0114226375909
和 180/16371 = 0.0109950522265
就 167/16371 = 0.0102009651213
那 159/16371 = 0.00971229613341
高 152/16371 = 0.00928471076904
我們 137/16371 = 0.00836845641683
把 136/16371 = 0.00830737279335
沒有 136/16371 = 0.00830737279335
都 134/16371 = 0.00818520554639
橋 134/16371 = 0.00818520554639
想 125/16371 = 0.00763545293507
這 124/16371 = 0.00757436931159
房間 122/16371 = 0.00745220206463
沒 119/16371 = 0.00726895119418
從 114/16371 = 0.00696353307678
時間 110/16371 = 0.00671919858286
自己 107/16371 = 0.00653594771242
File name: ../wordfreq/cityup/4.txt
的 4691/28258 = 0.166006086772
了 1954/28258 = 0.0691485596999
在 727/28258 = 0.0257272276877
也 583/28258 = 0.0206313256423
就 540/28258 = 0.0191096326704
我 510/28258 = 0.0180479864109
你 466/28258 = 0.0164909052304
人 461/28258 = 0.0163139641871
不 451/28258 = 0.0159600821006
都 384/28258 = 0.0135890721212
自己 358/28258 = 0.0126689786963
和 349/28258 = 0.0123504848185
什麼 315/28258 = 0.0111472857244
這 302/28258 = 0.010687239012
有 298/28258 = 0.0105456861774
說 297/28258 = 0.0105102979687
說道 291/28258 = 0.0102979687168
很 274/28258 = 0.00969636916979
上 246/28258 = 0.00870549932762
沒有 243/28258 = 0.00859933470168
到 236/28258 = 0.00835161724114
那 233/28258 = 0.00824545261519
會 227/28258 = 0.0080331233633
裡 216/28258 = 0.00764385306816
吧 203/28258 = 0.00718380635572
把 188/28258 = 0.00665298322599
做 176/28258 = 0.0062283247222
過 174/28258 = 0.0061575483049
被 169/28258 = 0.00598060726166
時候 169/28258 = 0.00598060726166
File name: ../wordfreq/cityup/5.txt
的 4399/41554 = 0.105862251528
我 4128/41554 = 0.0993406170284
了 1743/41554 = 0.0419454204168
說 1125/41554 = 0.0270732059489
在 1046/41554 = 0.0251720652645
你 926/41554 = 0.0222842566299
也 743/41554 = 0.0178803484622
就 642/41554 = 0.0154497761948
不 638/41554 = 0.015353515907
和 510/41554 = 0.0122731866968
人 449/41554 = 0.0108052173076
地 432/41554 = 0.0103961110844
有 393/41554 = 0.00945757327814
都 388/41554 = 0.00933724791837
到 368/41554 = 0.00885594647928
想 361/41554 = 0.0086874909756
看 354/41554 = 0.00851903547192
那 345/41554 = 0.00830244982432
很 341/41554 = 0.00820618953651
我們 321/41554 = 0.00772488809742
上 315/41554 = 0.00758049766569
好 307/41554 = 0.00738797709005
什麼 280/41554 = 0.00673822014728
會 280/41554 = 0.00673822014728
又 279/41554 = 0.00671415507532
這 268/41554 = 0.00644943928382
對 265/41554 = 0.00637724406796
沒有 264/41554 = 0.00635317899601
把 259/41554 = 0.00623285363623
過 249/41554 = 0.00599220291669
File name: ../wordfreq/9knife/1.txt
的 146/454 = 0.321585903084
我 59/454 = 0.129955947137
男人 51/454 = 0.112334801762
了 41/454 = 0.0903083700441
地 22/454 = 0.0484581497797
那 19/454 = 0.0418502202643
在 18/454 = 0.0396475770925
說 14/454 = 0.0308370044053
就 12/454 = 0.0264317180617
這 12/454 = 0.0264317180617
跟 12/454 = 0.0264317180617
將 10/454 = 0.0220264317181
不 10/454 = 0.0220264317181
裏 10/454 = 0.0220264317181
會 9/454 = 0.0198237885463
都 9/454 = 0.0198237885463
File name: ../wordfreq/9knife/2.txt
的 677/3859 = 0.175434050272
我 593/3859 = 0.153666753045
了 241/3859 = 0.062451412283
在 129/3859 = 0.0334283493133
跟 85/3859 = 0.0220264317181
也 73/3859 = 0.0189168178285
不 69/3859 = 0.0178802798653
都 67/3859 = 0.0173620108836
地 65/3859 = 0.016843741902
就 65/3859 = 0.016843741902
有 54/3859 = 0.0139932625032
沒有 47/3859 = 0.0121793210676
會 47/3859 = 0.0121793210676
世界 47/3859 = 0.0121793210676
什麼 43/3859 = 0.0111427831044
說 42/3859 = 0.0108836486136
知道 40/3859 = 0.010365379632
吧 36/3859 = 0.00932884166883
這 33/3859 = 0.00855143819642
這裏 33/3859 = 0.00855143819642
因為 32/3859 = 0.00829230370562
可以 32/3859 = 0.00829230370562
到 30/3859 = 0.00777403472402
